x, y
-0.09174311926605505, 65.6420233463035
2.9357798165137616, 65.09727626459144
4.770642201834862, 63.85214007782101
6.422018348623854, 61.750972762645915
8.34862385321101, 57.39299610894942
10.366972477064222, 52.2568093385214
12.201834862385322, 48.054474708171206
14.036697247706423, 43.929961089494164
15.137614678899084, 42.217898832684824
16.055045871559635, 40.35019455252918
17.706422018348626, 37.85992217898833
19.63302752293578, 35.21400778210116
23.57798165137615, 30.77821011673152
27.24770642201835, 27.898832684824903
30.825688073394495, 25.40856031128405
34.403669724770644, 23.540856031128406
37.98165137614679, 22.373540856031127
41.8348623853211, 21.20622568093385
45.22935779816514, 20.038910505836576
48.9908256880734, 19.182879377431906
50.64220183486239, 18.715953307392997
52.84403669724771, 18.404669260700388
54.31192660550459, 18.09338521400778
55.321100917431195, 17.39299610894942
56.42201834862386, 17.93774319066148
62.56880733944954, 17.003891050583658
70, 16.22568093385214
81.19266055045873, 15.369649805447471